分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,粉絲專頁互動,開始,結束時間
2026-05-04,2026-06-01,0508_太平最美19XX_B,not_delivering,653,526,,,,,,110,5000,總經費,22,3.369066,1.241445,7,2026-05-06,2026-05-24
2026-05-04,2026-06-01,0508_太平最美19XX,inactive,4441,2803,,,1,838,actions:leadgen.other,838,4000,總經費,153,3.44517,1.584374,41,2026-05-11,2026-05-24
2026-05-04,2026-06-01,0430_太平奢華3房,not_delivering,474,366,,,,,,217,4000,總經費,11,2.320675,1.295082,49,2026-05-11,2026-05-24
2026-05-04,2026-06-01,0428_對望東區,not_delivering,460,389,,,,,,196,4000,總經費,16,3.478261,1.182519,4,2026-05-11,2026-05-24
2026-05-04,2026-06-01,0430_太平奢華3房18xx,not_delivering,2414,1541,,,,,,773,5000,總經費,55,2.278376,1.566515,21,2026-05-07,2026-05-24
2026-05-04,2026-06-01,0508_太平最美18XX,not_delivering,701,560,,,,,,291,1200,總經費,17,2.425107,1.251786,3,2026-05-15,2026-05-24
2026-05-04,2026-06-01,0430_太平奢華3房18xx,not_delivering,458,368,,,,,,173,1200,總經費,6,1.310044,1.244565,4,2026-05-15,2026-05-24
2026-05-04,2026-06-01,0518_太平最美,not_delivering,341,306,,,,,,85,1200,總經費,15,4.398827,1.114379,3,2026-05-15,2026-05-24
2026-05-04,2026-06-01,0508_太平最美18XX,not_delivering,469,395,,,,,,117,650,總經費,16,3.411514,1.187342,5,2026-05-18,2026-05-24
2026-05-04,2026-06-01,0430_太平奢華3房18xx,not_delivering,1,1,,,,,,0,650,總經費,0,0,1,,2026-05-18,2026-05-24
2026-05-04,2026-06-01,0518_太平最美,inactive,134,119,,,,,,38,650,總經費,4,2.985075,1.12605,,2026-05-18,2026-05-24
2026-05-04,2026-06-01,0518_太平最美,inactive,962,781,,,,,,274,5000,總經費,20,2.079002,1.231754,5,2026-05-07,2026-05-24
2026-05-04,2026-06-01,0430_太平奢華3房18xx,not_delivering,48,44,,,,,,6,650,總經費,2,4.166667,1.090909,1,2026-05-20,2026-05-24
2026-05-04,2026-06-01,0508_太平最美18XX,not_delivering,651,542,,,,,,131,650,總經費,17,2.611367,1.201107,9,2026-05-20,2026-05-24
2026-05-04,2026-06-01,0430_太平奢華3房18xx,not_delivering,157,137,,,,,,18,2000,總經費,1,0.636943,1.145985,,2026-05-04,2026-05-24
2026-05-04,2026-06-01,0508_太平最美18XX,not_delivering,1591,1273,,,,,,261,2000,總經費,38,2.388435,1.249804,10,2026-05-04,2026-05-24
2026-05-04,2026-06-01,0430_太平奢華3房18xx,not_delivering,190,158,,,,,,50,150,每日,4,2.105263,1.202532,3,2026-05-21,進行中
2026-05-04,2026-06-01,0508_太平最美18XX,not_delivering,254,238,,,,,,56,150,每日,3,1.181102,1.067227,1,2026-05-21,進行中
2026-05-04,2026-06-01,0508_太平最美18XX,not_delivering,180,169,,,,,,44,200,每日,2,1.111111,1.065089,1,2026-05-21,進行中
2026-05-04,2026-06-01,0430_太平奢華3房18xx,not_delivering,548,440,1,,,,,155,200,每日,21,3.832117,1.245455,6,2026-05-21,進行中
2026-05-04,2026-06-01,0508_太平最美18XX,active,2412,1575,,,1,669,actions:leadgen.other,669,250,每日,98,4.063018,1.531429,27,2026-05-28,進行中
2026-05-04,2026-06-01,0430_太平奢華3房18xx,active,957,551,,,,,,449,250,每日,42,4.388715,1.736842,6,2026-05-28,進行中
2026-05-04,2026-06-01,0428_對望東區,not_delivering,1516,1036,,,,,,385,2500,總經費,57,3.759894,1.46332,14,2026-05-04,2026-05-14
2026-05-04,2026-06-01,0430_太平奢華3房,not_delivering,891,650,,,,,,216,2500,總經費,25,2.805836,1.370769,5,2026-05-04,2026-05-14
2026-05-04,2026-06-01,0428_對望東區,inactive,1871,1355,,,1,415,actions:leadgen.other,415,2000,總經費,65,3.474078,1.380812,23,2026-05-04,2026-05-24
2026-05-04,2026-06-01,0430_太平奢華3房,inactive,1507,1110,,,1,446,actions:leadgen.other,446,2000,總經費,46,3.052422,1.357658,14,2026-05-04,2026-05-24
2026-05-04,2026-06-01,0430_太平奢華3房,inactive,590,497,,,,,,122,5000,總經費,15,2.542373,1.187123,5,2026-05-06,2026-05-24
2026-05-04,2026-06-01,0428_對望東區,inactive,1676,1234,,,,,,391,5000,總經費,56,3.341289,1.358185,24,2026-05-06,2026-05-24
2026-05-04,2026-06-01,0428_對望東區,inactive,595,468,,,,,,219,5000,總經費,10,1.680672,1.271368,19,2026-05-06,2026-05-24
2026-05-04,2026-06-01,0430_太平奢華3房,inactive,1233,1018,,,,,,381,5000,總經費,37,3.000811,1.211198,12,2026-05-06,2026-05-24
2026-05-04,2026-06-01,0430_太平奢華3房,inactive,2375,1537,,,,,,697,5000,總經費,60,2.526316,1.545218,25,2026-05-07,2026-05-24
2026-05-04,2026-06-01,0428_對望東區,inactive,1441,1115,,,,,,427,5000,總經費,32,2.22068,1.292377,24,2026-05-07,2026-05-24
2026-05-04,2026-06-01,0508_太平最美19XX,not_delivering,915,630,,,,,,246,5000,總經費,40,4.371585,1.452381,11,2026-05-06,2026-05-24
2026-05-04,2026-06-01,0508_太平最美19XX,not_delivering,7682,4627,,1,5,271,actions:leadgen.other,1355,5000,總經費,263,3.423588,1.660255,76,2026-05-07,2026-05-24
2026-05-04,2026-06-01,0508_太平最美19XX,not_delivering,2925,1901,,,,,,831,5000,總經費,95,3.247863,1.538664,23,2026-05-06,2026-05-24
2026-05-04,2026-06-01,0508_太平最美19XX_B,inactive,1450,1105,,,,,,332,5000,總經費,45,3.103448,1.312217,15,2026-05-07,2026-05-24
2026-05-04,2026-06-01,0508_太平最美19XX_B,not_delivering,1925,1384,,,,,,467,5000,總經費,69,3.584416,1.390896,20,2026-05-06,2026-05-24
