分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-04-17,2026-06-02,0417_興大智醫,not_delivering,1470,1064,1,,1,539,actions:leadgen.other,539,300,每日,62,0.952381,1.381579,2026-04-17,進行中
2026-04-17,2026-06-02,0417_興大智醫,not_delivering,487,415,,,,,,219,300,每日,25,1.026694,1.173494,2026-04-17,進行中
2026-04-17,2026-06-02,0417_興大智醫,not_delivering,6273,2925,1,,5,493.6,actions:leadgen.other,2468,200,每日,347,1.243424,2.144615,2026-04-18,進行中
2026-04-17,2026-06-02,0417_興大智醫,inactive,1957,1410,,,1,695,actions:leadgen.other,695,250,每日,91,1.532959,1.387943,2026-04-24,進行中
2026-04-17,2026-06-02,0417_興大智醫B,not_delivering,105,89,,,,,,24,200,每日,3,,1.179775,2026-04-18,進行中
2026-04-17,2026-06-02,0417_興大智醫B,not_delivering,5836,3003,,,9,248.44444444,actions:leadgen.other,2236,250,每日,258,1.405072,1.94339,2026-04-24,進行中
2026-04-17,2026-06-02,0417_興大智醫,not_delivering,1030,766,,,1,475,actions:leadgen.other,475,225,每日,46,0.873786,1.344648,2026-05-11,進行中
2026-04-17,2026-06-02,0417_興大智醫B,inactive,1005,713,,,1,376,actions:leadgen.other,376,225,每日,50,1.293532,1.409537,2026-05-11,進行中
2026-04-17,2026-06-02,0417_興大智醫C,not_delivering,502,401,,,,,,148,225,每日,14,0.59761,1.25187,2026-05-11,進行中
2026-04-17,2026-06-02,0417_興大智醫C,not_delivering,2057,1424,,,1,501,actions:leadgen.other,501,225,每日,67,0.97229,1.444522,2026-05-13,進行中
2026-04-17,2026-06-02,0417_興大智醫C,not_delivering,2529,1539,,,,,,846,300,每日,91,1.028074,1.643275,2026-05-15,2026-05-26
2026-04-17,2026-06-02,0514_南區獻定A,inactive,4663,2277,1,,7,252.28571429,actions:leadgen.other,1766,250,每日,200,1.136607,2.04787,2026-04-24,進行中
2026-04-17,2026-06-02,0521_大里烏日價,not_delivering,4446,2230,1,,5,246.4,actions:leadgen.other,1232,250,每日,196,1.304543,1.993722,2026-04-24,進行中
2026-04-17,2026-06-02,0514_南區獻定A,inactive,3512,1837,,,4,209,actions:leadgen.other,836,250,每日,154,1.252847,1.911813,2026-05-21,進行中
2026-04-17,2026-06-02,0521_大里烏日價,not_delivering,7399,3175,,,6,331.66666667,actions:leadgen.other,1990,250,每日,256,0.756859,2.330394,2026-05-21,進行中
2026-04-17,2026-06-02,0417_興大智醫B,not_delivering,153,136,,,,,,68,250,每日,4,0.653595,1.125,2026-05-21,進行中
2026-04-17,2026-06-02,0521_大里烏日價,active,458,387,,,,,,104,250,每日,9,0.436681,1.183463,2026-05-28,進行中
