分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-06-12,2026-07-23,35-64/西屯中科/科技新貴/投資理財(排除IG,inactive,35652,10567,5,,35,215.45714286,actions:leadgen.other,7541,300,每日,1653,4.636486,3.3739,2026-06-12,進行中
2026-06-12,2026-07-23,30-60/西屯南屯中科/直銷/自營商/代理商(排除IG,inactive,2320,1442,,,1,524,actions:leadgen.other,524,250,每日,101,4.353448,1.608877,2026-06-23,進行中
2026-06-12,2026-07-23,"30-60 / 74沿線 / 傳產興趣(排除IG",inactive,15975,6783,1,,9,475,actions:leadgen.other,4275,250,每日,529,3.311424,2.355153,2026-06-23,進行中
2026-06-12,2026-07-23,35-64/西屯南屯洲際/置產興趣,inactive,83901,37617,12,1,,0.55165366,actions:post_engagement,5938,250,每日,590,0.70321,2.230401,2026-06-23,進行中
2026-06-12,2026-07-23,30-60/北屯74線/自營商/投資置產(排除IG,inactive,4011,1973,,,1,1094,actions:leadgen.other,1094,250,每日,142,3.540264,2.032945,2026-06-25,進行中
2026-06-12,2026-07-23,"28-55 / 74沿線 / 業務金融興趣(排除IG",inactive,5167,2505,,,1,1447,actions:leadgen.other,1447,250,每日,190,3.677182,2.062675,2026-06-30,進行中
2026-06-12,2026-07-23,"27-55/十期水湳/財會 公務員(排除IG",inactive,4284,2288,,,1,1438,actions:leadgen.other,1438,250,每日,138,3.221289,1.872378,2026-06-30,進行中
2026-06-12,2026-07-23,35-64/西屯中科/醫生/理財興趣(排除IG,inactive,11789,6672,,,4,665.75,actions:leadgen.other,2663,250,每日,360,3.053694,1.766936,2026-07-02,進行中
2026-06-12,2026-07-23,30-64/水湳洲際/純房產興趣,inactive,1884,1416,,,,,,522,3000,總經費,31,1.645435,1.330508,2026-07-08,2026-07-19
2026-06-12,2026-07-23,30-64/水湳洲際/證券股票興趣,inactive,7815,4178,,,3,664.33333333,actions:leadgen.other,1993,3000,總經費,155,1.983365,1.870512,2026-07-08,2026-07-19
2026-06-12,2026-07-23,30-64/水湳洲際/房產+高級休閒興趣,inactive,2106,1505,,,,,,505,3000,總經費,29,1.377018,1.399336,2026-07-08,2026-07-19
2026-06-12,2026-07-23,(預)30-60/北台中/自營商/育兒_0720調區,not_delivering,7264,3986,,,4,584.5,actions:leadgen.other,2338,250,每日,148,2.037445,1.822378,2026-07-10,進行中
2026-06-12,2026-07-23,28-55/逢甲中科/科技新貴/旅遊,inactive,4007,2443,,,,,,1454,3000,總經費,68,1.69703,1.640196,2026-07-10,2026-07-19
2026-06-12,2026-07-23,28-55/中科逢甲/置產客/自營商/高收職業,inactive,5793,3824,,,2,886,actions:leadgen.other,1772,3000,總經費,91,1.570861,1.514906,2026-07-10,2026-07-19
2026-06-12,2026-07-23,28-60/逢甲中科/科技新貴/名貴食材,inactive,1677,1470,,,,,,417,3000,總經費,26,1.550388,1.140816,2026-07-14,2026-07-23
2026-06-12,2026-07-23,30-64/水湳北屯洲際/證券股票興趣_0720調(1510),inactive,2242,1495,1,,1,1211,actions:leadgen.other,1211,3000,總經費,66,2.9438,1.499666,2026-07-15,2026-07-27
2026-06-12,2026-07-23,28-60/逢甲中科/科技新貴/名貴食材(1510),inactive,632,521,,,,,,349,3000,總經費,18,2.848101,1.213052,2026-07-15,2026-07-23
2026-06-12,2026-07-23,28-60/西屯北屯/投資置產(1510),inactive,666,533,,,,,,432,3000,總經費,24,3.603604,1.249531,2026-07-15,2026-07-23
2026-06-12,2026-07-23,35-60/逢甲水湳/教師/精品/成家(1510),inactive,542,445,,,,,,468,3000,總經費,18,3.321033,1.217978,2026-07-16,2026-07-25
2026-06-12,2026-07-23,32-64/水湳逢甲/生活品質/藝術興趣(1510),inactive,564,471,,,,,,571,3000,總經費,13,2.304965,1.197452,2026-07-16,2026-07-25
2026-06-12,2026-07-23,35-64/台中再行銷,active,6649,4053,2,,,1.58484848,actions:post_engagement,1569,250,每日,280,4.21116,1.640513,2026-07-17,進行中
2026-06-12,2026-07-23,30-50/西屯水湳/youtuber/進口代理商/投資興趣(1510)L,inactive,3008,1758,,,,,,1004,3000,總經費,98,3.257979,1.711035,2026-07-17,2026-07-28
2026-06-12,2026-07-23,35-60/中科水湳北屯/傳產/機具/置產_0720調(1510)L,inactive,2459,1478,,,,,,1420,3000,總經費,91,3.700691,1.663735,2026-07-17,2026-07-28
2026-06-12,2026-07-23,35-64/水湳逢甲/科技新貴/投資置產(1510),not_delivering,2076,1258,,,1,1271,actions:leadgen.other,1271,3000,總經費,74,3.564547,1.650238,2026-07-20,2026-07-29
2026-06-12,2026-07-23,30-64/大台中/1%+科技業,not_delivering,1255,1031,1,,,,,374,3000,總經費,31,2.47012,1.217265,2026-07-20,2026-07-29
2026-06-12,2026-07-23,35-64/西屯中科/銀行業/精算師/會計師(排除IG,inactive,5609,3986,,,1,1069,actions:leadgen.other,1069,300,每日,171,3.048672,1.407175,2026-07-02,進行中
2026-06-12,2026-07-23,30-64/北屯粉專再行銷(0708放大區域,inactive,8998,5034,,,4,660.75,actions:leadgen.other,2643,250,每日,234,2.600578,1.787445,2026-07-02,進行中
2026-06-12,2026-07-23,30-55/太原北屯/自由業/品牌經營(排除IG,inactive,3312,1914,,,1,1726,actions:leadgen.other,1726,250,每日,80,2.415459,1.730408,2026-07-06,進行中
2026-06-12,2026-07-23,30-65/西屯北屯/航空公司/旅遊興趣(排除IG,inactive,1706,1347,,,,,,394,250,每日,55,3.223916,1.266518,2026-07-06,進行中
2026-06-12,2026-07-23,32-64/西屯西區/包租公/退休規劃(排除IG,inactive,1264,990,,,,,,413,250,每日,28,2.21519,1.276768,2026-07-06,進行中
2026-06-12,2026-07-23,35-55/74沿線/科技業/高級興趣(排除IG,inactive,729,593,,,,,,318,300,每日,9,1.234568,1.229342,2026-07-07,2026-07-11
2026-06-12,2026-07-23,30-60/北屯西屯/上班族投資,inactive,2339,1751,,,1,747,actions:leadgen.other,747,250,每日,56,2.394186,1.335808,2026-07-10,進行中
2026-06-12,2026-07-23,30-64/中科水湳/科技/投資置產,inactive,4656,3520,1,,1,917,actions:leadgen.other,917,250,每日,93,1.997423,1.322727,2026-07-13,進行中
2026-06-12,2026-07-23,30-60/北屯西屯/企業家/精品/紅酒收藏,inactive,3240,1967,,,1,1045,actions:leadgen.other,1045,250,每日,60,1.851852,1.647178,2026-07-13,進行中
2026-06-12,2026-07-23,25-64/大台中/1%+房地產興趣,inactive,3754,2401,,,,,,989,3000,總經費,96,2.557272,1.563515,2026-07-17,2026-07-28
