分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2023-05-05,2026-06-05,東區太平|40以上|店面投資,not_delivering,16345,6643,2,13,,333.07692308,actions:onsite_conversion.messaging_conversation_started_7d,4330,5000,總經費,689,2.460485,4.215356,2023-05-01,2023-05-31
2023-05-05,2026-06-05,敘uno-龍井-親子教育/工業,not_delivering,21760,7869,29,66,,67.21212121,actions:onsite_conversion.messaging_conversation_started_7d,4436,5000,總經費,1752,2.765281,8.051471,2023-05-01,2023-05-31
2023-05-05,2026-06-05,東區太平|35以上|開店創業,not_delivering,5991,3284,,2,,1000,actions:onsite_conversion.messaging_conversation_started_7d,2000,2000,總經費,292,1.8243,4.873978,2023-05-24,2023-05-31
2023-05-05,2026-06-05,敘uno-龍井-親子教育/工業,not_delivering,22478,9657,22,45,,100,actions:onsite_conversion.messaging_conversation_started_7d,4500,4500,總經費,1869,2.327638,8.314797,2023-06-01,2023-06-30
2023-05-05,2026-06-05,33~65/東區太平|投資創業興趣,not_delivering,19688,8515,6,13,,346.15384615,actions:onsite_conversion.messaging_conversation_started_7d,4500,4500,總經費,847,2.312155,4.302113,2023-06-01,2023-06-30
2023-05-05,2026-06-05,"敘uno- （K）22-65 / 大肚龍井工業區 / 新婚小康家庭",not_delivering,12510,4775,6,18,,129.11111111,actions:onsite_conversion.messaging_conversation_started_7d,2324,2324,總經費,747,2.619895,5.971223,2023-07-03,2023-07-17
2023-05-05,2026-06-05,"敘建築 - （K）22-65 / 中區東區南區霧峰 / 新婚小康家庭",not_delivering,10321,4795,3,8,,291.75,actions:onsite_conversion.messaging_conversation_started_7d,2334,2334,總經費,533,2.15245,5.164228,2023-07-03,2023-07-17
2023-05-05,2026-06-05,"敘uno- （K）22-65 / 大肚龍井工業區清水 / 新婚小康家庭",not_delivering,6750,3235,3,5,,267.6,actions:onsite_conversion.messaging_conversation_started_7d,1338,1338,總經費,405,2.086553,6,2023-07-18,2023-07-24
2023-05-05,2026-06-05,"敘建築 - （K）22-65 / 中區東區南區霧峰后里 / 新婚小康家庭",not_delivering,5418,2803,4,2,,669,actions:onsite_conversion.messaging_conversation_started_7d,1338,1338,總經費,256,1.932929,4.724991,2023-07-18,2023-07-24
2023-05-05,2026-06-05,"敘建築 - （K）35-65 / 台中市區 后里 / 投資客 置產 開店自營",not_delivering,3898,2193,3,4,,333.25,actions:onsite_conversion.messaging_conversation_started_7d,1333,1333,總經費,238,1.777474,6.105695,2023-07-25,2023-07-31
2023-05-05,2026-06-05,"敘uno- （K）22-65 / 大肚龍井工業區 / 新婚小康家庭 自住需求",not_delivering,6139,3264,2,7,,190.42857143,actions:onsite_conversion.messaging_conversation_started_7d,1333,1333,總經費,336,1.880821,5.473204,2023-07-25,2023-07-31
2023-05-05,2026-06-05,"敘uno- （K）22-65 / 大肚龍井工業區 / 新婚小康家庭 自住需求",inactive,3014,1862,2,1,,712,actions:onsite_conversion.messaging_conversation_started_7d,712,1333,總經費,156,1.61869,5.175846,2023-08-01,2023-08-07
2023-05-05,2026-06-05,"敘建築 - （K）22-65 / 中區東區南區霧峰 / 新婚小康家庭",inactive,2116,1294,,,,,,538,1050,總經費,96,1.63524,4.536862,2023-08-01,2023-08-07
2023-05-05,2026-06-05,"敘uno- （K）22-65 / 台中海線 工業區 / 自住 新婚小家庭",not_delivering,14389,5271,10,30,,131.66666667,actions:onsite_conversion.messaging_conversation_started_7d,3950,3950,總經費,908,2.729843,6.310376,2023-08-04,2023-08-31
2023-05-05,2026-06-05,"敘建築 - （K）22-65 / 中區東區南區霧峰 / 新婚小康家庭 - 複本",inactive,6253,2457,2,7,,285.85714286,actions:onsite_conversion.messaging_conversation_started_7d,2001,3850,總經費,315,2.544974,5.037582,2023-08-04,2023-08-31
2023-05-05,2026-06-05,"敘建築 - （K）30-65 / 中區 西屯區 / 投資開店",inactive,2149,1124,1,1,,903,actions:onsite_conversion.messaging_conversation_started_7d,903,1800,總經費,104,1.911922,4.83946,2023-08-17,2023-08-31
2023-05-05,2026-06-05,"敘建築 - （K）25-65 / 中區東區南區太平 / 年輕開店需求",not_delivering,3054,1545,,1,,1000,actions:onsite_conversion.messaging_conversation_started_7d,1000,1000,總經費,122,1.976699,3.994761,2023-08-24,2023-08-31
2023-05-05,2026-06-05,"30-55 / 龍井 / 零售批發自營",inactive,44323,10301,2,,17,336.76470588,actions:leadgen.other,5725,300,每日,1426,4.302786,3.217291,2026-02-10,2026-03-09
2023-05-05,2026-06-05,"30-55 / 靜宜東海 /  開店投資(預)",inactive,3560,1895,,1,,,,603,300,每日,88,1.878628,2.47191,2026-02-10,進行中
2023-05-05,2026-06-05,"30-55 / 龍井 / 上班族家具設計",inactive,10831,4469,3,1,3,673,actions:leadgen.other,2019,350,每日,311,2.423585,2.871388,2026-03-06,2026-04-09
2023-05-05,2026-06-05,"30-55 / 沙鹿東海 / 零售批發自營",inactive,68866,14869,12,,33,331.45454545,actions:leadgen.other,10938,300,每日,2293,4.631515,3.329655,2026-03-13,2026-05-09
2023-05-05,2026-06-05,"30-55 / 靜宜清水 / 零售批發自營(0505+嶺東)",active,24273,7934,2,1,12,396.58333333,actions:leadgen.other,4759,200,每日,703,3.059365,2.896222,2026-04-23,進行中
2023-05-05,2026-06-05,"敘建築 - 35-65 / 逢甲東區 / 高收退休男",inactive,8334,3757,1,2,,1362.5,actions:onsite_conversion.messaging_conversation_started_7d,2725,6500,總經費,297,2.218259,3.563715,2023-09-01,2023-09-30
2023-05-05,2026-06-05,"敘uno- 22-65 / 台中海線 工業區 / 自住 新婚小家庭",inactive,20061,6013,13,28,,196.92857143,actions:onsite_conversion.messaging_conversation_started_7d,5514,9500,總經費,1196,3.336271,5.961816,2023-09-01,2023-09-30
2023-05-05,2026-06-05,"敘建築 - 35-65 / 逢甲東區 /純房產投資",inactive,1546,942,,,,,,510,3577,總經費,47,1.641189,3.040103,2023-09-11,2023-09-30
2023-05-05,2026-06-05,"敘uno- 22-65 / 台中海線 工業區 / 通勤上班族新婚",inactive,12725,4576,9,11,,350.63636364,actions:onsite_conversion.messaging_conversation_started_7d,3857,4256,總經費,525,2.780813,4.125737,2023-09-19,2023-09-30
2023-05-05,2026-06-05,"30-65 / 彰化和美龍井交流道 / 工業區上班族",not_delivering,1973,1119,1,1,,400,actions:onsite_conversion.messaging_conversation_started_7d,400,400,總經費,142,1.763181,7.197162,2023-09-27,2023-09-30
2023-05-05,2026-06-05,"30-65 / 彰化和美龍井交流道 / 工業區上班族",inactive,10325,5217,1,1,,1446,actions:onsite_conversion.messaging_conversation_started_7d,1446,10000,總經費,456,1.979107,4.416465,2023-10-02,2023-10-31
2023-05-05,2026-06-05,"30-65 / 台中海線+一點市區 / 上班族教育通勤",not_delivering,39900,10770,23,39,,217.94871795,actions:onsite_conversion.messaging_conversation_started_7d,8500,8500,總經費,2838,3.704735,7.112782,2023-10-06,2023-10-31
2023-05-05,2026-06-05,"30-65 / 台中海線+一點市區 / 上班族教育通勤",not_delivering,38267,11369,3,45,,188.88888889,actions:onsite_conversion.messaging_conversation_started_7d,8500,8500,總經費,3029,3.365907,7.915436,2023-11-01,2023-11-30
2023-05-05,2026-06-05,"20-50 / 中科 / 首購工程師",not_delivering,5384,2630,1,4,,375,actions:onsite_conversion.messaging_conversation_started_7d,1500,1500,總經費,312,2.047148,5.794948,2023-11-24,2023-11-30
2023-05-05,2026-06-05,"20-50 / 中科 / 首購工程師",not_delivering,14135,5842,4,17,,235.29411765,actions:onsite_conversion.messaging_conversation_started_7d,4000,4000,總經費,896,2.419548,6.338875,2023-12-01,2023-12-31
2023-05-05,2026-06-05,"30-65 / 台中海線+一點市區 / 上班族教育通勤",not_delivering,22386,7339,13,32,,187.5,actions:onsite_conversion.messaging_conversation_started_7d,6000,6000,總經費,1679,3.050279,7.500223,2023-12-01,2023-12-31
2023-05-05,2026-06-05,"30-65 / 台中海線+一點市區 / 上班族教育通勤",not_delivering,19486,7877,21,25,,180,actions:onsite_conversion.messaging_conversation_started_7d,4500,4500,總經費,1345,2.473784,6.902391,2024-01-01,2024-01-31
2023-05-05,2026-06-05,"28-55 / 中科 / 首購工程師",not_delivering,21700,7403,48,71,,59.15492958,actions:onsite_conversion.messaging_conversation_started_7d,4200,4200,總經費,2947,2.931244,13.580645,2024-01-01,2024-01-31
2023-05-05,2026-06-05,"30-65 / 台中海線+一點市區 / 上班族教育通勤",not_delivering,15465,5777,45,47,,42.55319149,actions:onsite_conversion.messaging_conversation_started_7d,2000,2000,總經費,2168,2.676995,14.018752,2024-02-01,2024-02-29
2023-05-05,2026-06-05,"28-55 / 中科 / 首購工程師",not_delivering,17252,7764,51,72,,27.77777778,actions:onsite_conversion.messaging_conversation_started_7d,2000,2000,總經費,2801,2.22205,16.235799,2024-02-01,2024-02-29
